Year,Sport,Event,NOC,Bronze,Gold,Silver
1896,Athletics,"Athletics Men's 1,500 metres",AUS,Data Missing,Australia,Data Missing
1896,Athletics,"Athletics Men's 1,500 metres",FRA,France,Data Missing,Data Missing
1896,Athletics,"Athletics Men's 1,500 metres",USA,Data Missing,Data Missing,USA
1896,Athletics,Athletics Men's 100 metres,GER,Data Missing,Data Missing,Germany
1896,Athletics,Athletics Men's 100 metres,HUN,Hungary,Data Missing,Data Missing
1896,Athletics,Athletics Men's 100 metres,USA,USA,USA,Data Missing
1896,Athletics,Athletics Men's 110 metres Hurdles,GBR,Data Missing,Data Missing,UK
1896,Athletics,Athletics Men's 110 metres Hurdles,USA,Data Missing,USA,Data Missing
1896,Athletics,Athletics Men's 400 metres,GBR,UK,Data Missing,Data Missing
1896,Athletics,Athletics Men's 400 metres,USA,Data Missing,USA,USA
1896,Athletics,Athletics Men's 800 metres,AUS,Data Missing,Australia,Data Missing
1896,Athletics,Athletics Men's 800 metres,GRE,Greece,Data Missing,Data Missing
1896,Athletics,Athletics Men's 800 metres,HUN,Data Missing,Data Missing,Hungary
1896,Athletics,Athletics Men's Discus Throw,GRE,Greece,Data Missing,Greece
1896,Athletics,Athletics Men's Discus Throw,USA,Data Missing,USA,Data Missing
1896,Athletics,Athletics Men's High Jump,USA,Data Missing,USA,USA
1896,Athletics,Athletics Men's Long Jump,USA,USA,USA,USA
1896,Athletics,Athletics Men's Marathon,GRE,Data Missing,Greece,Greece
1896,Athletics,Athletics Men's Marathon,HUN,Hungary,Data Missing,Data Missing
1896,Athletics,Athletics Men's Pole Vault,GRE,Greece,Data Missing,Data Missing
1896,Athletics,Athletics Men's Pole Vault,USA,Data Missing,USA,USA
1896,Athletics,Athletics Men's Shot Put,GRE,Greece,Data Missing,Greece
1896,Athletics,Athletics Men's Shot Put,USA,Data Missing,USA,Data Missing
1896,Athletics,Athletics Men's Triple Jump,FRA,Data Missing,Data Missing,France
1896,Athletics,Athletics Men's Triple Jump,GRE,Greece,Data Missing,Data Missing
1896,Athletics,Athletics Men's Triple Jump,USA,Data Missing,USA,Data Missing
1896,Cycling,"Cycling Men's 10,000 metres",AUT,Austria,Data Missing,Data Missing
1896,Cycling,"Cycling Men's 10,000 metres",FRA,Data Missing,France,France
1896,Cycling,Cycling Men's 100 kilometres,FRA,Data Missing,France,Data Missing
1896,Cycling,Cycling Men's 100 kilometres,GRE,Data Missing,Data Missing,Greece
1896,Cycling,Cycling Men's 12-Hours Race,AUT,Data Missing,Austria,Data Missing
1896,Cycling,Cycling Men's 12-Hours Race,GBR,Data Missing,Data Missing,UK
1896,Cycling,Cycling Men's 333 metres Time Trial,AUT,Austria,Data Missing,Data Missing
1896,Cycling,Cycling Men's 333 metres Time Trial,FRA,Data Missing,France,Data Missing
1896,Cycling,Cycling Men's 333 metres Time Trial,GRE,Data Missing,Data Missing,Greece
1896,Cycling,"Cycling Men's Road Race, Individual",GBR,UK,Data Missing,Data Missing
1896,Cycling,"Cycling Men's Road Race, Individual",GER,Data Missing,Data Missing,Germany
1896,Cycling,"Cycling Men's Road Race, Individual",GRE,Data Missing,Greece,Data Missing
1896,Cycling,Cycling Men's Sprint,FRA,France,France,Data Missing
1896,Cycling,Cycling Men's Sprint,GRE,Data Missing,Data Missing,Greece
1896,Fencing,"Fencing Men's Foil, Individual",FRA,Data Missing,France,France
1896,Fencing,"Fencing Men's Foil, Individual",GRE,Greece,Data Missing,Data Missing
1896,Fencing,"Fencing Men's Foil, Masters, Individual",FRA,Data Missing,Data Missing,France
1896,Fencing,"Fencing Men's Foil, Masters, Individual",GRE,Data Missing,Greece,Data Missing
1896,Fencing,"Fencing Men's Sabre, Individual",DEN,Denmark,Data Missing,Data Missing
1896,Fencing,"Fencing Men's Sabre, Individual",GRE,Data Missing,Greece,Greece
1896,Gymnastics,Gymnastics Men's Horizontal Bar,GER,Data Missing,Germany,Germany
1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",GER,Data Missing,Germany,Data Missing
1896,Gymnastics,Gymnastics Men's Horse Vault,GER,Germany,Germany,Data Missing
1896,Gymnastics,Gymnastics Men's Horse Vault,SUI,Data Missing,Data Missing,Switzerland
1896,Gymnastics,Gymnastics Men's Parallel Bars,GER,Data Missing,Germany,Data Missing
1896,Gymnastics,Gymnastics Men's Parallel Bars,SUI,Data Missing,Data Missing,Switzerland
1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",GER,Data Missing,Germany,Data Missing
1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",GRE,Greece,Data Missing,Data Missing
1896,Gymnastics,Gymnastics Men's Pommelled Horse,GER,Data Missing,Data Missing,Germany
1896,Gymnastics,Gymnastics Men's Pommelled Horse,SUI,Data Missing,Switzerland,Data Missing
1896,Gymnastics,Gymnastics Men's Rings,GER,Data Missing,Data Missing,Germany
1896,Gymnastics,Gymnastics Men's Rings,GRE,Greece,Greece,Data Missing
1896,Gymnastics,Gymnastics Men's Rope Climbing,GER,Germany,Data Missing,Data Missing
1896,Gymnastics,Gymnastics Men's Rope Climbing,GRE,Data Missing,Greece,Greece
1896,Shooting,"Shooting Men's Free Pistol, 30 metres",DEN,Data Missing,Data Missing,Denmark
1896,Shooting,"Shooting Men's Free Pistol, 30 metres",GRE,Greece,Data Missing,Data Missing
1896,Shooting,"Shooting Men's Free Pistol, 30 metres",USA,Data Missing,USA,Data Missing
1896,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",DEN,Denmark,Data Missing,Data Missing
1896,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",GRE,Data Missing,Greece,Greece
1896,Shooting,"Shooting Men's Military Pistol, 25 metres",GRE,Greece,Data Missing,Data Missing
1896,Shooting,"Shooting Men's Military Pistol, 25 metres",USA,Data Missing,USA,USA
1896,Shooting,"Shooting Men's Military Rifle, 200 metres",GRE,Greece,Greece,Greece
1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",DEN,Denmark,Data Missing,Data Missing
1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",GRE,Data Missing,Greece,Greece
1896,Swimming,"Swimming Men's 1,200 metres Freestyle",GRE,Data Missing,Data Missing,Greece
1896,Swimming,"Swimming Men's 1,200 metres Freestyle",HUN,Data Missing,Hungary,Data Missing
1896,Swimming,Swimming Men's 100 metres Freestyle,AUT,Data Missing,Data Missing,Austria
1896,Swimming,Swimming Men's 100 metres Freestyle,HUN,Data Missing,Hungary,Data Missing
1896,Swimming,Swimming Men's 100 metres Freestyle For Sailors,GRE,Greece,Greece,Greece
1896,Swimming,Swimming Men's 500 metres Freestyle,AUT,Data Missing,Austria,Data Missing
1896,Swimming,Swimming Men's 500 metres Freestyle,GRE,Greece,Data Missing,Greece
1896,Tennis,Tennis Men's Doubles,AUS,Australia,Data Missing,Data Missing
1896,Tennis,Tennis Men's Doubles,GBR,UK,UK,Data Missing
1896,Tennis,Tennis Men's Doubles,GER,Data Missing,Germany,Data Missing
1896,Tennis,Tennis Men's Doubles,GRE,Data Missing,Data Missing,Greece
1896,Tennis,Tennis Men's Singles,GBR,Data Missing,UK,Data Missing
1896,Tennis,Tennis Men's Singles,GRE,Greece,Data Missing,Greece
1896,Tennis,Tennis Men's Singles,HUN,Hungary,Data Missing,Data Missing
1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",DEN,Data Missing,Data Missing,Denmark
1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",GBR,Data Missing,UK,Data Missing
1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",GRE,Greece,Data Missing,Data Missing
1896,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",DEN,Data Missing,Denmark,Data Missing
1896,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",GBR,Data Missing,Data Missing,UK
1896,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",GRE,Greece,Data Missing,Data Missing
1896,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",GER,Data Missing,Germany,Data Missing
1896,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",GRE,Greece,Data Missing,Greece
1900,Archery,"Archery Men's Au Chapelet, 33 metres",BEL,Data Missing,Belgium,Data Missing
1900,Archery,"Archery Men's Au Chapelet, 33 metres",FRA,France,Data Missing,France
1900,Archery,"Archery Men's Au Chapelet, 50 metres",FRA,France,France,France
1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",BEL,Data Missing,Belgium,Data Missing
1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",FRA,France,Data Missing,France
1900,Archery,"Archery Men's Au Cordon Dore, 50 metres",BEL,Data Missing,Data Missing,Belgium
1900,Archery,"Archery Men's Au Cordon Dore, 50 metres",FRA,France,France,Data Missing
1900,Archery,Archery Men's Championnat Du Monde,BEL,Data Missing,Data Missing,Belgium
1900,Archery,Archery Men's Championnat Du Monde,FRA,Data Missing,France,Data Missing
1900,Archery,Archery Men's Sur La Perche a La Herse,BEL,Data Missing,Belgium,Belgium
1900,Archery,Archery Men's Sur La Perche a La Herse,FRA,Data Missing,Data Missing,France
1900,Archery,Archery Men's Sur La Perche a La Pyramide,BEL,Belgium,Data Missing,Data Missing
1900,Archery,Archery Men's Sur La Perche a La Pyramide,FRA,Data Missing,France,France
1900,Athletics,"Athletics Men's 1,500 metres",FRA,Data Missing,Data Missing,France
1900,Athletics,"Athletics Men's 1,500 metres",GBR,Data Missing,UK,Data Missing
1900,Athletics,"Athletics Men's 1,500 metres",USA,USA,Data Missing,Data Missing
1900,Athletics,Athletics Men's 100 metres,AUS,Australia,Data Missing,Data Missing
1900,Athletics,Athletics Men's 100 metres,USA,Data Missing,USA,USA
1900,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA,USA
1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",CAN,Data Missing,Canada,Data Missing
1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",FRA,France,Data Missing,Data Missing
1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",GBR,Data Missing,Data Missing,UK
1900,Athletics,Athletics Men's 200 metres,AUS,Australia,Data Missing,Data Missing
1900,Athletics,Athletics Men's 200 metres,IND,Data Missing,Data Missing,India
1900,Athletics,Athletics Men's 200 metres,USA,Data Missing,USA,Data Missing
1900,Athletics,Athletics Men's 200 metres Hurdles,IND,Data Missing,Data Missing,India
1900,Athletics,Athletics Men's 200 metres Hurdles,USA,USA,USA,Data Missing
1900,Athletics,"Athletics Men's 4,000 metres Steeplechase",GBR,UK,UK,UK
1900,Athletics,Athletics Men's 400 metres,DEN,Denmark,Data Missing,Data Missing
1900,Athletics,Athletics Men's 400 metres,USA,Data Missing,USA,USA
1900,Athletics,Athletics Men's 400 metres Hurdles,CAN,Canada,Data Missing,Data Missing
1900,Athletics,Athletics Men's 400 metres Hurdles,FRA,Data Missing,Data Missing,France
1900,Athletics,Athletics Men's 400 metres Hurdles,USA,Data Missing,USA,Data Missing
1900,Athletics,"Athletics Men's 5,000 metres, Team",AUS,Data Missing,Australia,Data Missing
1900,Athletics,"Athletics Men's 5,000 metres, Team",FRA,Data Missing,Data Missing,France
1900,Athletics,"Athletics Men's 5,000 metres, Team",GBR,Data Missing,UK,Data Missing
1900,Athletics,Athletics Men's 60 metres,AUS,Australia,Data Missing,Data Missing
1900,Athletics,Athletics Men's 60 metres,USA,Data Missing,USA,USA
1900,Athletics,Athletics Men's 800 metres,GBR,Data Missing,UK,Data Missing
1900,Athletics,Athletics Men's 800 metres,USA,USA,Data Missing,USA
1900,Athletics,Athletics Men's Discus Throw,BOH,Data Missing,Data Missing,Czech Republic
1900,Athletics,Athletics Men's Discus Throw,HUN,Data Missing,Hungary,Data Missing
1900,Athletics,Athletics Men's Discus Throw,USA,USA,Data Missing,Data Missing
1900,Athletics,Athletics Men's Hammer Throw,USA,USA,USA,USA
1900,Athletics,Athletics Men's High Jump,GBR,Data Missing,Data Missing,UK
1900,Athletics,Athletics Men's High Jump,HUN,Hungary,Data Missing,Data Missing
1900,Athletics,Athletics Men's High Jump,USA,Data Missing,USA,Data Missing
1900,Athletics,Athletics Men's Long Jump,GBR,UK,Data Missing,Data Missing
1900,Athletics,Athletics Men's Long Jump,USA,Data Missing,USA,USA
1900,Athletics,Athletics Men's Marathon,FRA,Data Missing,Data Missing,France
1900,Athletics,Athletics Men's Marathon,LUX,Data Missing,Luxembourg,Data Missing
1900,Athletics,Athletics Men's Marathon,SWE,Sweden,Data Missing,Data Missing
1900,Athletics,Athletics Men's Pole Vault,NOR,Norway,Data Missing,Data Missing
1900,Athletics,Athletics Men's Pole Vault,USA,Data Missing,USA,USA
1900,Athletics,Athletics Men's Shot Put,USA,USA,USA,USA
1900,Athletics,Athletics Men's Standing High Jump,USA,USA,USA,USA
1900,Athletics,Athletics Men's Standing Long Jump,FRA,France,Data Missing,Data Missing
1900,Athletics,Athletics Men's Standing Long Jump,USA,Data Missing,USA,USA
1900,Athletics,Athletics Men's Standing Triple Jump,USA,USA,USA,USA
1900,Athletics,Athletics Men's Triple Jump,USA,USA,USA,USA
1900,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,ESP,Data Missing,Spain,Data Missing
1900,Cricket,Cricket Men's Cricket,FRA,Data Missing,Data Missing,France
1900,Cricket,Cricket Men's Cricket,GBR,Data Missing,UK,UK
1900,Croquet,Croquet Mixed Doubles,FRA,Data Missing,France,Data Missing
1900,Croquet,"Croquet Mixed Singles, One Ball",FRA,France,France,France
1900,Croquet,"Croquet Mixed Singles, Two Balls",FRA,France,France,France
1900,Cycling,Cycling Men's 25 kilometres,FRA,France,France,Data Missing
1900,Cycling,Cycling Men's 25 kilometres,GBR,Data Missing,Data Missing,UK
1900,Cycling,Cycling Men's Points Race,FRA,France,Data Missing,Data Missing
1900,Cycling,Cycling Men's Points Race,GER,Data Missing,Data Missing,Germany
1900,Cycling,Cycling Men's Points Race,ITA,Data Missing,Italy,Data Missing
1900,Cycling,Cycling Men's Sprint,FRA,Data Missing,France,France
1900,Cycling,Cycling Men's Sprint,USA,USA,Data Missing,Data Missing
1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,BEL,Data Missing,Belgium,Data Missing
1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,FRA,France,Data Missing,France
1900,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,FRA,France,France,France
1900,Equestrianism,Equestrianism Mixed High Jump,BEL,Belgium,Data Missing,Data Missing
1900,Equestrianism,Equestrianism Mixed High Jump,FRA,Data Missing,France,Data Missing
1900,Equestrianism,Equestrianism Mixed High Jump,ITA,Data Missing,Italy,Data Missing
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",BEL,Data Missing,Belgium,Belgium
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",FRA,France,Data Missing,Data Missing
1900,Equestrianism,Equestrianism Mixed Long Jump,BEL,Data Missing,Belgium,Data Missing
1900,Equestrianism,Equestrianism Mixed Long Jump,FRA,France,Data Missing,Data Missing
1900,Equestrianism,Equestrianism Mixed Long Jump,ITA,Data Missing,Data Missing,Italy
1900,Fencing,"Fencing Men's Foil, Individual",FRA,France,France,France
1900,Fencing,"Fencing Men's Foil, Masters, Individual",FRA,France,France,France
1900,Fencing,"Fencing Men's Sabre, Individual",AUT,Austria,Data Missing,Data Missing
1900,Fencing,"Fencing Men's Sabre, Individual",FRA,Data Missing,France,France
1900,Fencing,"Fencing Men's Sabre, Masters, Individual",AUT,Austria,Data Missing,Data Missing
1900,Fencing,"Fencing Men's Sabre, Masters, Individual",ITA,Data Missing,Italy,Italy
1900,Fencing,"Fencing Men's epee, Individual",CUB,Data Missing,Cuba,Data Missing
1900,Fencing,"Fencing Men's epee, Individual",FRA,France,Data Missing,France
1900,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",CUB,Data Missing,Data Missing,Cuba
1900,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",FRA,France,France,Data Missing
1900,Fencing,"Fencing Men's epee, Masters, Individual",FRA,France,France,France
1900,Football,Football Men's Football,BEL,Belgium,Data Missing,Data Missing
1900,Football,Football Men's Football,FRA,Data Missing,Data Missing,France
1900,Football,Football Men's Football,GBR,UK,UK,Data Missing
1900,Football,Football Men's Football,NED,Netherlands,Data Missing,Data Missing
1900,Golf,Golf Men's Individual,GBR,UK,Data Missing,UK
1900,Golf,Golf Men's Individual,USA,Data Missing,USA,Data Missing
1900,Golf,Golf Women's Individual,USA,USA,USA,USA
1900,Gymnastics,Gymnastics Men's Individual All-Around,FRA,France,France,France
1900,Polo,Polo Men's Polo,FRA,France,Data Missing,France
1900,Polo,Polo Men's Polo,GBR,UK,UK,UK
1900,Polo,Polo Men's Polo,MEX,Mexico,Data Missing,Data Missing
1900,Polo,Polo Men's Polo,USA,USA,USA,USA
1900,Rowing,Rowing Men's Coxed Eights,BEL,Data Missing,Data Missing,Belgium
1900,Rowing,Rowing Men's Coxed Eights,NED,Netherlands,Data Missing,Data Missing
1900,Rowing,Rowing Men's Coxed Eights,USA,Data Missing,USA,Data Missing
1900,Rowing,Rowing Men's Coxed Fours,FRA,Data Missing,France,France
1900,Rowing,Rowing Men's Coxed Fours,GER,Germany,Germany,Data Missing
1900,Rowing,Rowing Men's Coxed Fours,NED,Data Missing,Data Missing,Netherlands
1900,Rowing,Rowing Men's Coxed Pairs,FRA,France,Data Missing,France
1900,Rowing,Rowing Men's Coxed Pairs,NED,Data Missing,Netherlands,Data Missing
1900,Rowing,Rowing Men's Single Sculls,FRA,Data Missing,France,France
1900,Rowing,Rowing Men's Single Sculls,GBR,UK,Data Missing,Data Missing
1900,Rugby,Rugby Men's Rugby,FRA,Data Missing,France,Data Missing
1900,Rugby,Rugby Men's Rugby,GBR,Data Missing,Data Missing,UK
1900,Rugby,Rugby Men's Rugby,GER,Data Missing,Data Missing,Germany
1900,Rugby,Rugby Men's Rugby,HAI,Data Missing,Haiti,Data Missing
1900,Rugby,Rugby Men's Rugby,USA,Data Missing,USA,Data Missing
1900,Sailing,Sailing Mixed 0-0.5 Ton,FRA,France,France,France
1900,Sailing,Sailing Mixed 0.5-1 Ton,FRA,France,France,France
1900,Sailing,Sailing Mixed 0.5-1 Ton,GBR,Data Missing,UK,Data Missing
1900,Sailing,Sailing Mixed 1-2 Ton,FRA,France,Data Missing,France
1900,Sailing,Sailing Mixed 1-2 Ton,GER,Data Missing,Germany,Data Missing
1900,Sailing,Sailing Mixed 1-2 Ton,SUI,Data Missing,Switzerland,Switzerland
1900,Sailing,Sailing Mixed 10-20 Ton,FRA,Data Missing,France,France
1900,Sailing,Sailing Mixed 10-20 Ton,GBR,UK,Data Missing,Data Missing
1900,Sailing,Sailing Mixed 2-3 Ton,FRA,France,France,France
1900,Sailing,Sailing Mixed 2-3 Ton,GBR,Data Missing,UK,Data Missing
1900,Sailing,Sailing Mixed 20+ Ton,GBR,Data Missing,UK,UK
1900,Sailing,Sailing Mixed 20+ Ton,USA,USA,Data Missing,Data Missing
1900,Sailing,Sailing Mixed 3-10 Ton,FRA,France,France,France
1900,Sailing,Sailing Mixed 3-10 Ton,GBR,Data Missing,UK,Data Missing
1900,Sailing,Sailing Mixed 3-10 Ton,NED,Data Missing,Data Missing,Netherlands
1900,Sailing,Sailing Mixed 3-10 Ton,USA,USA,Data Missing,Data Missing
1900,Sailing,Sailing Mixed Open,FRA,France,Data Missing,Data Missing
1900,Sailing,Sailing Mixed Open,GBR,Data Missing,UK,Data Missing
1900,Sailing,Sailing Mixed Open,GER,Data Missing,Data Missing,Germany
1900,Shooting,"Shooting Men's Free Pistol, 50 metres",FRA,Data Missing,Data Missing,France
1900,Shooting,"Shooting Men's Free Pistol, 50 metres",SUI,Switzerland,Switzerland,Data Missing
1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",FRA,Data Missing,Data Missing,France
1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",NED,Netherlands,Data Missing,Data Missing
1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",SUI,Data Missing,Switzerland,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",DEN,Data Missing,Data Missing,Denmark
1900,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",SUI,Data Missing,Switzerland,Switzerland
1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",DEN,Data Missing,Data Missing,Denmark
1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",FRA,Data Missing,France,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",NOR,Norway,Data Missing,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",BEL,Belgium,Data Missing,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",DEN,Data Missing,Denmark,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",NOR,Data Missing,Data Missing,Norway
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",BEL,Belgium,Data Missing,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",DEN,Data Missing,Data Missing,Denmark
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",NOR,Norway,Data Missing,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",SUI,Data Missing,Switzerland,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",FRA,France,Data Missing,Data Missing
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",NOR,Data Missing,Data Missing,Norway
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",SUI,Data Missing,Switzerland,Data Missing
1900,Shooting,Shooting Men's Trap,BEL,Data Missing,Data Missing,Belgium
1900,Shooting,Shooting Men's Trap,FRA,France,France,Data Missing
1900,Swimming,"Swimming Men's 1,000 metres Freestyle",AUT,Data Missing,Data Missing,Austria
1900,Swimming,"Swimming Men's 1,000 metres Freestyle",GBR,Data Missing,UK,Data Missing
1900,Swimming,"Swimming Men's 1,000 metres Freestyle",HUN,Hungary,Data Missing,Data Missing
1900,Swimming,Swimming Men's 200 metres Backstroke,AUT,Data Missing,Data Missing,Austria
1900,Swimming,Swimming Men's 200 metres Backstroke,GER,Data Missing,Germany,Data Missing
1900,Swimming,Swimming Men's 200 metres Backstroke,NED,Netherlands,Data Missing,Data Missing
1900,Swimming,Swimming Men's 200 metres Freestyle,AUS,Data Missing,Australia,Data Missing
1900,Swimming,Swimming Men's 200 metres Freestyle,AUT,Austria,Data Missing,Data Missing
1900,Swimming,Swimming Men's 200 metres Freestyle,HUN,Data Missing,Data Missing,Hungary
1900,Swimming,Swimming Men's 200 metres Obstacle Course,AUS,Data Missing,Australia,Data Missing
1900,Swimming,Swimming Men's 200 metres Obstacle Course,AUT,Data Missing,Data Missing,Austria
1900,Swimming,Swimming Men's 200 metres Obstacle Course,GBR,UK,Data Missing,Data Missing
1900,Swimming,Swimming Men's 200 metres Team Swimming,FRA,France,Data Missing,France
1900,Swimming,Swimming Men's 200 metres Team Swimming,GER,Data Missing,Germany,Data Missing
1900,Swimming,"Swimming Men's 4,000 metres Freestyle",FRA,France,Data Missing,Data Missing
1900,Swimming,"Swimming Men's 4,000 metres Freestyle",GBR,Data Missing,UK,Data Missing
1900,Swimming,"Swimming Men's 4,000 metres Freestyle",HUN,Data Missing,Data Missing,Hungary
1900,Swimming,Swimming Men's Underwater Swimming,DEN,Denmark,Data Missing,Data Missing
1900,Swimming,Swimming Men's Underwater Swimming,FRA,Data Missing,France,France
1900,Tennis,Tennis Men's Doubles,FRA,France,Data Missing,France
1900,Tennis,Tennis Men's Doubles,GBR,UK,UK,Data Missing
1900,Tennis,Tennis Men's Doubles,USA,Data Missing,Data Missing,USA
1900,Tennis,Tennis Men's Singles,GBR,UK,UK,UK
1900,Tennis,Tennis Mixed Doubles,BOH,Czech Republic,Data Missing,Data Missing
1900,Tennis,Tennis Mixed Doubles,FRA,Data Missing,Data Missing,France
1900,Tennis,Tennis Mixed Doubles,GBR,UK,UK,UK
1900,Tennis,Tennis Mixed Doubles,USA,USA,Data Missing,Data Missing
1900,Tennis,Tennis Women's Singles,BOH,Czech Republic,Data Missing,Data Missing
1900,Tennis,Tennis Women's Singles,FRA,Data Missing,Data Missing,France
1900,Tennis,Tennis Women's Singles,GBR,Data Missing,UK,Data Missing
1900,Tennis,Tennis Women's Singles,USA,USA,Data Missing,Data Missing
1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,COL,Data Missing,Data Missing,Colombia
1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,DEN,Data Missing,Denmark,Data Missing
1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,FRA,Data Missing,Data Missing,France
1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,SWE,Data Missing,Sweden,Data Missing
1900,Water Polo,Water Polo Men's Water Polo,BEL,Data Missing,Data Missing,Belgium
1900,Water Polo,Water Polo Men's Water Polo,FRA,France,Data Missing,Data Missing
1900,Water Polo,Water Polo Men's Water Polo,GBR,UK,UK,Data Missing
1900,Water Polo,Water Polo Men's Water Polo,NZL,Data Missing,New Zealand,Data Missing
1904,Archery,Archery Men's Double American Round,USA,USA,USA,USA
1904,Archery,Archery Men's Double York Round,USA,USA,USA,USA
1904,Archery,Archery Men's Team Round,USA,USA,USA,USA
1904,Archery,Archery Women's Double Columbia Round,USA,USA,USA,USA
1904,Archery,Archery Women's Double National Round,USA,USA,USA,USA
1904,Archery,Archery Women's Team Round,USA,Data Missing,USA,Data Missing
1904,Athletics,"Athletics Men's 1,500 metres",USA,USA,USA,USA
1904,Athletics,Athletics Men's 100 metres,USA,USA,USA,USA
1904,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA,USA
1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",GBR,Data Missing,Data Missing,UK
1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",USA,USA,USA,Data Missing
1904,Athletics,Athletics Men's 200 metres,USA,USA,USA,USA
1904,Athletics,Athletics Men's 200 metres Hurdles,USA,USA,USA,USA
1904,Athletics,"Athletics Men's 4 mile, Team",FRA,Data Missing,Data Missing,France
1904,Athletics,"Athletics Men's 4 mile, Team",USA,Data Missing,USA,USA
1904,Athletics,Athletics Men's 400 metres,USA,USA,USA,USA
1904,Athletics,Athletics Men's 400 metres Hurdles,USA,USA,USA,USA
1904,Athletics,Athletics Men's 56-pound Weight Throw,CAN,Data Missing,Canada,Data Missing
1904,Athletics,Athletics Men's 56-pound Weight Throw,USA,USA,Data Missing,USA
1904,Athletics,Athletics Men's 60 metres,USA,USA,USA,USA
1904,Athletics,Athletics Men's 800 metres,USA,USA,USA,USA
1904,Athletics,Athletics Men's All-Around Championship,GBR,Data Missing,UK,Data Missing
1904,Athletics,Athletics Men's All-Around Championship,USA,USA,Data Missing,USA
1904,Athletics,Athletics Men's Discus Throw,GRE,Greece,Data Missing,Data Missing
1904,Athletics,Athletics Men's Discus Throw,USA,Data Missing,USA,USA
1904,Athletics,Athletics Men's Hammer Throw,USA,USA,USA,USA
1904,Athletics,Athletics Men's High Jump,GER,Germany,Data Missing,Data Missing
1904,Athletics,Athletics Men's High Jump,USA,Data Missing,USA,USA
1904,Athletics,Athletics Men's Long Jump,USA,USA,USA,USA
1904,Athletics,Athletics Men's Marathon,FRA,Data Missing,Data Missing,France
1904,Athletics,Athletics Men's Marathon,USA,USA,USA,Data Missing
1904,Athletics,Athletics Men's Pole Vault,USA,USA,USA,USA
1904,Athletics,Athletics Men's Shot Put,USA,USA,USA,USA
1904,Athletics,Athletics Men's Standing High Jump,USA,USA,USA,USA
