Year,Sport,Event,Medal,Country
2008,Taekwondo,Taekwondo Men's Flyweight,Bronze,Afghanistan
2012,Taekwondo,Taekwondo Men's Featherweight,Bronze,Afghanistan
1988,Sailing,Sailing Mixed Windsurfer,Silver,Curacao
2000,Boxing,Boxing Men's Light-Welterweight,Bronze,Algeria
1996,Boxing,Boxing Men's Middleweight,Bronze,Algeria
2008,Judo,Judo Men's Middleweight,Silver,Algeria
1992,Athletics,"Athletics Women's 1,500 metres",Gold,Algeria
2008,Judo,Judo Women's Half-Lightweight,Bronze,Algeria
2000,Athletics,Athletics Men's High Jump,Bronze,Algeria
2012,Athletics,"Athletics Men's 1,500 metres",Gold,Algeria
2016,Athletics,Athletics Men's 800 metres,Silver,Algeria
2016,Athletics,"Athletics Men's 1,500 metres",Silver,Algeria
2000,Athletics,"Athletics Women's 1,500 metres",Gold,Algeria
1996,Athletics,"Athletics Men's 1,500 metres",Gold,Algeria
1984,Boxing,Boxing Men's Light-Heavyweight,Bronze,Algeria
2000,Athletics,Athletics Men's 800 metres,Bronze,Algeria
2000,Athletics,"Athletics Men's 5,000 metres",Silver,Algeria
1992,Boxing,Boxing Men's Featherweight,Bronze,Algeria
1996,Boxing,Boxing Men's Lightweight,Gold,Algeria
1984,Boxing,Boxing Men's Middleweight,Bronze,Algeria
1908,Boxing,Boxing Men's Middleweight,Silver,Australia
1908,Rugby,Rugby Men's Rugby,Gold,Australia
1908,Swimming,Swimming Men's 400 metres Freestyle,Silver,Australia
1908,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1912,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia
1912,Swimming,Swimming Women's 100 metres Freestyle,Gold,Australia
1912,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1912,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1912,Swimming,Swimming Men's 100 metres Freestyle,Silver,Australia
1908,Athletics,"Athletics Men's 3,500 metres Walk",Bronze,Australia
1912,Tennis,"Tennis Men's Singles, Covered Courts",Bronze,Australia
1912,Swimming,Swimming Women's 100 metres Freestyle,Silver,Australia
2008,Football,Football Men's Football,Gold,Argentina
2000,Hockey,Hockey Women's Hockey,Silver,Argentina
2004,Hockey,Hockey Women's Hockey,Bronze,Argentina
2008,Hockey,Hockey Women's Hockey,Bronze,Argentina
1996,Football,Football Men's Football,Silver,Argentina
2000,Sailing,Sailing Women's One Person Dinghy,Bronze,Argentina
1936,Polo,Polo Men's Polo,Gold,Argentina
1928,Fencing,"Fencing Men's Foil, Team",Bronze,Argentina
1928,Boxing,Boxing Men's Light-Heavyweight,Gold,Argentina
2004,Football,Football Men's Football,Gold,Argentina
2012,Hockey,Hockey Women's Hockey,Silver,Argentina
1932,Boxing,Boxing Men's Middleweight,Silver,Argentina
2004,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,Argentina
1928,Football,Football Men's Football,Silver,Argentina
2016,Hockey,Hockey Men's Hockey,Gold,Argentina
1924,Athletics,Athletics Men's Triple Jump,Silver,Argentina
1948,Athletics,Athletics Men's Marathon,Gold,Argentina
2012,Sailing,Sailing Men's Two Person Dinghy,Bronze,Argentina
1960,Sailing,Sailing Mixed Three Person Keelboat,Silver,Argentina
1936,Swimming,Swimming Women's 100 metres Freestyle,Silver,Argentina
1952,Rowing,Rowing Men's Double Sculls,Gold,Argentina
2016,Sailing,Sailing Mixed Multihull,Gold,Argentina
1936,Boxing,Boxing Men's Featherweight,Gold,Argentina
1988,Volleyball,Volleyball Men's Volleyball,Bronze,Argentina
1996,Boxing,Boxing Men's Featherweight,Bronze,Argentina
1948,Boxing,Boxing Men's Light-Heavyweight,Bronze,Argentina
2000,Sailing,Sailing Men's Two Person Dinghy,Bronze,Argentina
1924,Boxing,Boxing Men's Lightweight,Silver,Argentina
2012,Taekwondo,Taekwondo Men's Welterweight,Gold,Argentina
1936,Rowing,Rowing Men's Coxless Pairs,Bronze,Argentina
2008,Cycling,Cycling Men's Madison,Gold,Argentina
2012,Tennis,Tennis Men's Singles,Bronze,Argentina
2016,Tennis,Tennis Men's Singles,Silver,Argentina
2004,Basketball,Basketball Men's Basketball,Gold,Argentina
2008,Basketball,Basketball Men's Basketball,Bronze,Argentina
1968,Rowing,Rowing Men's Single Sculls,Bronze,Argentina
1972,Rowing,Rowing Men's Single Sculls,Silver,Argentina
1948,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,Argentina
1996,Sailing,Sailing Men's Windsurfer,Silver,Argentina
2000,Sailing,Sailing Men's Windsurfer,Silver,Argentina
2004,Sailing,Sailing Mixed Multihull,Bronze,Argentina
2008,Sailing,Sailing Mixed Multihull,Bronze,Argentina
1992,Tennis,Tennis Men's Doubles,Bronze,Argentina
1952,Athletics,Athletics Men's Marathon,Silver,Argentina
1968,Boxing,Boxing Men's Welterweight,Bronze,Argentina
1952,Boxing,Boxing Men's Light-Middleweight,Bronze,Argentina
1948,Sailing,Sailing Mixed 6 metres,Silver,Argentina
1948,Boxing,Boxing Men's Heavyweight,Gold,Argentina
1924,Polo,Polo Men's Polo,Gold,Argentina
1928,Boxing,Boxing Men's Welterweight,Silver,Argentina
1960,Boxing,Boxing Men's Lightweight,Bronze,Argentina
1932,Boxing,Boxing Men's Heavyweight,Gold,Argentina
1936,Boxing,Boxing Men's Heavyweight,Silver,Argentina
1924,Boxing,Boxing Men's Welterweight,Silver,Argentina
1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,Argentina
1952,Boxing,Boxing Men's Light-Heavyweight,Silver,Argentina
2008,Judo,Judo Women's Extra-Lightweight,Bronze,Argentina
2016,Judo,Judo Women's Extra-Lightweight,Gold,Argentina
1928,Boxing,Boxing Men's Featherweight,Silver,Argentina
1948,Boxing,Boxing Men's Flyweight,Gold,Argentina
1924,Boxing,Boxing Men's Heavyweight,Bronze,Argentina
1924,Boxing,Boxing Men's Featherweight,Bronze,Argentina
1936,Boxing,Boxing Men's Light-Heavyweight,Bronze,Argentina
1932,Boxing,Boxing Men's Featherweight,Gold,Argentina
1928,Boxing,Boxing Men's Heavyweight,Gold,Argentina
1988,Tennis,Tennis Women's Singles,Silver,Argentina
1952,Weightlifting,Weightlifting Men's Heavyweight,Bronze,Argentina
1956,Weightlifting,Weightlifting Men's Heavyweight,Silver,Argentina
1948,Athletics,Athletics Women's Long Jump,Silver,Argentina
2004,Tennis,Tennis Women's Doubles,Bronze,Argentina
1936,Boxing,Boxing Men's Middleweight,Bronze,Argentina
1932,Athletics,Athletics Men's Marathon,Gold,Argentina
1956,Boxing,Boxing Men's Middleweight,Bronze,Argentina
1928,Swimming,Swimming Men's 400 metres Freestyle,Gold,Argentina
2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Armenia
2016,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,Armenia
2008,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,Armenia
2016,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,Armenia
2008,Weightlifting,Weightlifting Men's Middleweight,Bronze,Armenia
2008,Boxing,Boxing Men's Lightweight,Bronze,Armenia
2012,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Armenia
2012,Weightlifting,Weightlifting Women's Super-Heavyweight,Bronze,Armenia
2016,Weightlifting,Weightlifting Men's Heavyweight,Silver,Armenia
2008,Weightlifting,Weightlifting Men's Lightweight,Bronze,Armenia
2008,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,Armenia
2000,Weightlifting,Weightlifting Men's Middleweight,Bronze,Armenia
2016,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver,Armenia
1996,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver,Armenia
1996,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,Armenia
2008,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,Armenia
2008,Hockey,Hockey Men's Hockey,Bronze,Australia
2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Australia
1956,Rowing,Rowing Men's Coxed Eights,Bronze,Australia
1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Australia
1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Australia
2000,Cycling,Cycling Men's Madison,Gold,Australia
2000,Hockey,Hockey Women's Hockey,Gold,Australia
2000,Softball,Softball Women's Softball,Bronze,Australia
2004,Softball,Softball Women's Softball,Silver,Australia
2008,Softball,Softball Women's Softball,Bronze,Australia
1964,Athletics,Athletics Women's 400 metres,Bronze,Australia
2004,Baseball,Baseball Men's Baseball,Silver,Australia
1952,Rowing,Rowing Men's Coxed Eights,Bronze,Australia
1972,Sailing,Sailing Mixed Two Person Keelboat,Gold,Australia
1984,Sailing,Sailing Mixed Multihull,Bronze,Australia
1972,Sailing,Sailing Mixed Three Person Keelboat,Gold,Australia
1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,Australia
1960,Swimming,Swimming Women's 100 metres Butterfly,Bronze,Australia
1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia
1996,Hockey,Hockey Women's Hockey,Gold,Australia
1992,Rowing,Rowing Men's Double Sculls,Gold,Australia
1988,Swimming,Swimming Men's 200 metres Freestyle,Gold,Australia
1988,Swimming,Swimming Men's 400 metres Freestyle,Silver,Australia
2000,Sailing,Sailing Women's Two Person Dinghy,Gold,Australia
1948,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Australia
2008,Sailing,Sailing Mixed Multihull,Silver,Australia
2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Australia
1948,Athletics,Athletics Men's Triple Jump,Silver,Australia
2004,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver,Australia
2004,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,Australia
2008,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,Australia
2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Australia
2000,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Australia
2004,Shooting,Shooting Women's Trap,Gold,Australia
1952,Weightlifting,Weightlifting Men's Lightweight,Bronze,Australia
1906,Athletics,Athletics Men's 100 metres,Bronze,Australia
1906,Athletics,Athletics Men's 400 metres,Bronze,Australia
2004,Diving,Diving Men's Synchronized Springboard,Bronze,Australia
2012,Swimming,Swimming Women's 200 metres Freestyle,Bronze,Australia
2004,Basketball,Basketball Women's Basketball,Silver,Australia
2008,Basketball,Basketball Women's Basketball,Silver,Australia
2012,Basketball,Basketball Women's Basketball,Bronze,Australia
1984,Rowing,Rowing Men's Coxed Eights,Bronze,Australia
2004,Cycling,Cycling Men's Sprint,Gold,Australia
2004,Cycling,Cycling Men's Keirin,Gold,Australia
2008,Water Polo,Water Polo Women's Water Polo,Bronze,Australia
2012,Water Polo,Water Polo Women's Water Polo,Bronze,Australia
1996,Sailing,Sailing Mixed Two Person Keelboat,Bronze,Australia
1920,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1920,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Australia
1924,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1924,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Australia
2016,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Australia
1988,Hockey,Hockey Women's Hockey,Gold,Australia
2012,Sailing,Sailing Men's Two Person Dinghy,Gold,Australia
2016,Sailing,Sailing Men's Two Person Dinghy,Silver,Australia
1976,Hockey,Hockey Men's Hockey,Silver,Australia
1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Australia
1968,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia
2008,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze,Australia
2016,Rowing,Rowing Men's Quadruple Sculls,Silver,Australia
1976,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Australia
1984,Swimming,Swimming Men's 200 metres Breaststroke,Silver,Australia
1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia
1964,Swimming,Swimming Men's 200 metres Butterfly,Gold,Australia
1964,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia
1976,Sailing,Sailing Mixed One Person Dinghy,Bronze,Australia
1992,Hockey,Hockey Men's Hockey,Silver,Australia
2016,Athletics,Athletics Men's 20 kilometres Walk,Bronze,Australia
1964,Athletics,Athletics Women's 200 metres,Bronze,Australia
2000,Sailing,Sailing Mixed One Person Dinghy,Bronze,Australia
2012,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Australia
2016,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Australia
2016,Rowing,Rowing Men's Coxless Fours,Silver,Australia
1992,Sailing,Sailing Mixed Multihull,Bronze,Australia
1996,Sailing,Sailing Mixed Multihull,Silver,Australia
1996,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Australia
2000,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Australia
1964,Judo,Judo Men's Open Class,Bronze,Australia
1996,Basketball,Basketball Women's Basketball,Bronze,Australia
2000,Basketball,Basketball Women's Basketball,Silver,Australia
1968,Athletics,Athletics Women's 200 metres,Silver,Australia
1972,Athletics,Athletics Women's 100 metres,Silver,Australia
1972,Athletics,Athletics Women's 200 metres,Silver,Australia
2004,Rowing,Rowing Women's Quadruple Sculls,Bronze,Australia
1984,Rowing,Rowing Women's Coxed Fours,Bronze,Australia
2000,Hockey,Hockey Men's Hockey,Bronze,Australia
2004,Hockey,Hockey Men's Hockey,Gold,Australia
2008,Rowing,Rowing Men's Double Sculls,Gold,Australia
1980,Swimming,Swimming Men's 200 metres Freestyle,Bronze,Australia
2008,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Australia
2012,Diving,Diving Women's Platform,Silver,Australia
2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Australia
1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,Australia
1984,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,Australia
1984,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia
1968,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
2004,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Australia
2004,Cycling,Cycling Men's Madison,Gold,Australia
1976,Sailing,Sailing Mixed Two Person Dinghy,Bronze,Australia
1996,Softball,Softball Women's Softball,Bronze,Australia
1956,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze,Australia
1956,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,Australia
1948,Athletics,Athletics Men's Long Jump,Silver,Australia
1984,Swimming,Swimming Men's 100 metres Butterfly,Bronze,Australia
2000,Sailing,Sailing Mixed Multihull,Silver,Australia
2012,Hockey,Hockey Men's Hockey,Bronze,Australia
2004,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Australia
2000,Rowing,Rowing Men's Coxed Eights,Silver,Australia
2000,Taekwondo,Taekwondo Women's Flyweight,Gold,Australia
2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Australia
2016,Sailing,Sailing Men's One Person Dinghy,Gold,Australia
1956,Sailing,Sailing Mixed 5.5 metres,Bronze,Australia
1968,Athletics,Athletics Women's 80 metres Hurdles,Gold,Australia
2000,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,Australia
2000,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia
2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Australia
2008,Swimming,Swimming Women's 50 metres Freestyle,Bronze,Australia
2008,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Australia
2012,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Australia
2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia
2004,Cycling,"Cycling Women's Road Race, Individual",Gold,Australia
1996,Hockey,Hockey Men's Hockey,Bronze,Australia
2000,Water Polo,Water Polo Women's Water Polo,Gold,Australia
2016,Swimming,Swimming Men's 100 metres Freestyle,Gold,Australia
2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia
1956,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Australia
1956,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia
2012,Rowing,Rowing Men's Coxless Fours,Silver,Australia
1924,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1924,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
1928,Swimming,Swimming Men's 400 metres Freestyle,Silver,Australia
1928,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
1988,Boxing,Boxing Men's Light-Welterweight,Silver,Australia
1972,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Australia
1964,Athletics,"Athletics Men's 10,000 metres",Bronze,Australia
2012,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Australia
1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Australia
2008,Diving,Diving Women's Synchronized Platform,Silver,Australia
1996,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,Australia
2000,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,Australia
1960,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Australia
1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,Australia
2000,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold,Australia
1992,Rowing,Rowing Men's Coxless Fours,Gold,Australia
1972,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
1992,Athletics,Athletics Women's Discus Throw,Bronze,Australia
2012,Swimming,Swimming Women's 100 metres Butterfly,Bronze,Australia
2012,Swimming,Swimming Women's 200 metres Individual Medley,Silver,Australia
2012,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia
1952,Cycling,Cycling Men's Sprint,Silver,Australia
1952,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,Australia
1960,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,Australia
1956,Swimming,Swimming Women's 100 metres Freestyle,Silver,Australia
1956,Swimming,Swimming Women's 400 metres Freestyle,Gold,Australia
1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Australia
1956,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Australia
1964,Hockey,Hockey Men's Hockey,Bronze,Australia
2012,Rowing,Rowing Women's Single Sculls,Bronze,Australia
2012,Rowing,Rowing Women's Double Sculls,Silver,Australia
2016,Rowing,Rowing Women's Single Sculls,Gold,Australia
2004,Archery,Archery Men's Individual,Bronze,Australia
2012,Sailing,Sailing Women's Three Person Keelboat,Silver,Australia
1968,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Australia
1956,Athletics,Athletics Women's 100 metres,Gold,Australia
1956,Athletics,Athletics Women's 200 metres,Gold,Australia
1964,Athletics,Athletics Women's 400 metres,Gold,Australia
2016,Sailing,Sailing Mixed Multihull,Silver,Australia
1988,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,Australia
1952,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Australia
1948,Swimming,Swimming Women's 100 metres Backstroke,Bronze,Australia
2008,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Australia
2004,Athletics,Athletics Men's 20 kilometres Walk,Bronze,Australia
1968,Hockey,Hockey Men's Hockey,Silver,Australia
2008,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia
1984,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,Australia
1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia
1932,Swimming,Swimming Women's 200 metres Breaststroke,Gold,Australia
2012,Triathlon,Triathlon Women's Olympic Distance,Bronze,Australia
1956,Swimming,Swimming Men's 100 metres Freestyle,Silver,Australia
1960,Swimming,Swimming Men's 100 metres Freestyle,Gold,Australia
1960,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Australia
1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia
1996,Shooting,Shooting Men's Trap,Gold,Australia
2000,Shooting,Shooting Men's Trap,Gold,Australia
1964,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Australia
1968,Rowing,Rowing Men's Coxed Eights,Silver,Australia
2012,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia
2000,Rowing,Rowing Men's Coxless Fours,Bronze,Australia
1968,Athletics,Athletics Men's 800 metres,Gold,Australia
1988,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Australia
1996,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Australia
2000,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Australia
2004,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Australia
2000,Cycling,Cycling Men's Team Sprint,Bronze,Australia
2012,Cycling,Cycling Women's Omnium,Bronze,Australia
1996,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,Australia
1960,Athletics,"Athletics Men's 1,500 metres",Gold,Australia
2016,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold,Australia
1980,Swimming,Swimming Men's 100 metres Breaststroke,Bronze,Australia
1984,Swimming,Swimming Men's 100 metres Breaststroke,Bronze,Australia
1924,Diving,Diving Men's Plain High,Gold,Australia
2000,Archery,Archery Men's Individual,Gold,Australia
1996,Cycling,Cycling Women's Sprint,Silver,Australia
2000,Cycling,Cycling Women's 500 metres Time Trial,Silver,Australia
1896,Tennis,Tennis Men's Doubles,Bronze,Australia
1896,Athletics,Athletics Men's 800 metres,Gold,Australia
1896,Athletics,"Athletics Men's 1,500 metres",Gold,Australia
1988,Athletics,Athletics Women's 400 metres Hurdles,Gold,Australia
1980,Swimming,Swimming Women's 800 metres Freestyle,Gold,Australia
1980,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Australia
2000,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Australia
2012,Rowing,Rowing Men's Quadruple Sculls,Bronze,Australia
1992,Athletics,Athletics Men's High Jump,Bronze,Australia
1988,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Australia
2012,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,Australia
2016,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,Australia
1956,Swimming,Swimming Women's 100 metres Freestyle,Gold,Australia
1956,Swimming,Swimming Women's 400 metres Freestyle,Silver,Australia
1960,Swimming,Swimming Women's 100 metres Freestyle,Gold,Australia
1964,Swimming,Swimming Women's 100 metres Freestyle,Gold,Australia
2008,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,Australia
1996,Rowing,Rowing Men's Quadruple Sculls,Bronze,Australia
2008,Rowing,Rowing Men's Coxless Pairs,Gold,Australia
1996,Athletics,Athletics Women's 400 metres,Silver,Australia
2000,Athletics,Athletics Women's 400 metres,Gold,Australia
1960,Athletics,Athletics Men's 20 kilometres Walk,Silver,Australia
1904,Swimming,Swimming Men's 220 yard Freestyle,Silver,Australia
1904,Swimming,Swimming Men's 440 yard Freestyle,Silver,Australia
1904,Swimming,Swimming Men's 880 yard Freestyle,Silver,Australia
1904,Swimming,Swimming Men's One Mile Freestyle,Bronze,Australia
2008,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Australia
1948,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,Australia
2000,Diving,Diving Women's Synchronized Platform,Bronze,Australia
1996,Rowing,Rowing Men's Coxless Fours,Gold,Australia
2004,Rowing,Rowing Men's Coxless Pairs,Gold,Australia
1956,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Australia
1996,Swimming,Swimming Men's 200 metres Butterfly,Bronze,Australia
1972,Swimming,Swimming Women's 100 metres Freestyle,Bronze,Australia
1972,Swimming,Swimming Women's 200 metres Freestyle,Gold,Australia
1972,Swimming,Swimming Women's 400 metres Freestyle,Gold,Australia
1972,Swimming,Swimming Women's 800 metres Freestyle,Silver,Australia
1972,Swimming,Swimming Women's 200 metres Individual Medley,Gold,Australia
2000,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Australia
1928,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,Australia
1932,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,Australia
1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Australia
1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Australia
1996,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,Australia
2000,Athletics,Athletics Women's Pole Vault,Silver,Australia
2016,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
1984,Rowing,Rowing Men's Quadruple Sculls,Silver,Australia
2000,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
2000,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia
2004,Swimming,Swimming Men's 400 metres Freestyle,Silver,Australia
2004,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
2004,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Australia
2008,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
2004,Rowing,Rowing Men's Coxed Eights,Bronze,Australia
2004,Swimming,Swimming Women's 100 metres Breaststroke,Silver,Australia
2004,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Australia
2000,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia
2004,Triathlon,Triathlon Women's Olympic Distance,Silver,Australia
1960,Swimming,Swimming Men's 200 metres Butterfly,Silver,Australia
1906,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Australia
2008,Rowing,Rowing Men's Coxless Fours,Silver,Australia
2004,Diving,Diving Men's Platform,Silver,Australia
2004,Diving,Diving Men's Synchronized Platform,Bronze,Australia
1956,Swimming,Swimming Men's 100 metres Freestyle,Gold,Australia
2004,Swimming,Swimming Women's 100 metres Freestyle,Gold,Australia
2004,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Australia
1956,Athletics,Athletics Men's 100 metres,Bronze,Australia
1956,Boxing,Boxing Men's Welterweight,Bronze,Australia
1976,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1984,Athletics,Athletics Men's Long Jump,Silver,Australia
2008,Athletics,Athletics Men's Pole Vault,Gold,Australia
2012,Rowing,Rowing Women's Coxless Pairs,Silver,Australia
2016,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
1992,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
2000,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,Australia
1996,Shooting,Shooting Women's Double Trap,Bronze,Australia
2000,Swimming,Swimming Men's 100 metres Butterfly,Bronze,Australia
1952,Athletics,Athletics Women's 100 metres,Gold,Australia
1952,Athletics,Athletics Women's 200 metres,Gold,Australia
2012,Sailing,Sailing Men's Skiff,Gold,Australia
2016,Sailing,Sailing Men's Skiff,Silver,Australia
1960,Athletics,Athletics Women's 800 metres,Silver,Australia
2000,Swimming,Swimming Women's 100 metres Breaststroke,Silver,Australia
2004,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,Australia
2004,Swimming,Swimming Women's 200 metres Breaststroke,Silver,Australia
